Page has no outgoing links
PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of internal outlinks,No. of external outlinks
40,https://www.cabinetdigital.fr/logiciels/sage_x3/,,text/html; charset=utf-8,true,200,0,0,0,0
40,https://www.cabinetdigital.fr/logiciels/control_fec/,,text/html; charset=utf-8,true,200,0,0,0,0
40,https://www.cabinetdigital.fr/logiciels/talentia_rh/,,text/html; charset=utf-8,true,200,0,0,0,0
20,https://www.cabinetdigital.fr/logiciels/legalcity/alternatives/,,text/html; charset=utf-8,true,200,0,1,0,0
20,https://www.cabinetdigital.fr/logiciels/cegid_quadra/alternatives/,,text/html; charset=utf-8,true,200,0,1,0,0
20,https://www.cabinetdigital.fr/logiciels/infogreffe/alternatives/,,text/html; charset=utf-8,true,200,0,1,0,0
20,https://www.cabinetdigital.fr/logiciels/cegid_quadra_entreprise/alternatives/,,text/html; charset=utf-8,true,200,0,1,0,0
20,https://www.cabinetdigital.fr/logiciels/regate/alternatives/,,text/html; charset=utf-8,true,200,0,1,0,0
20,https://www.cabinetdigital.fr/logiciels/ged_expert/alternatives/,,text/html; charset=utf-8,true,200,0,1,0,0
10,https://www.cabinetdigital.fr/logiciels/conformexpert/alternatives/,,text/html; charset=utf-8,true,200,0,1,0,0
10,https://www.cabinetdigital.fr/logiciels/easyteo/alternatives/,,text/html; charset=utf-8,true,200,0,1,0,0
10,https://www.cabinetdigital.fr/logiciels/jedataviz/alternatives/,,text/html; charset=utf-8,true,200,0,1,0,0
10,https://www.cabinetdigital.fr/logiciels/hubtimize/alternatives/,,text/html; charset=utf-8,true,200,0,1,0,0
1,https://www.cabinetdigital.fr/actualites/nouveau_calendrier_de_la_facturation_electronique/,,text/html; charset=utf-8,true,200,0,0,0,0
1,https://www.cabinetdigital.fr/actualites/visma_consolide_sa_position_en_france_avec_l_acqu/,,text/html; charset=utf-8,true,200,0,0,0,0
1,https://www.cabinetdigital.fr/outils/sftp-script-generateur/,,text/html; charset=utf-8,true,200,0,3,0,0
1,https://www.cabinetdigital.fr/media/providers/ChatGPT-Logo.svg.png/,,text/html; charset=utf-8,true,200,0,3,0,0


Orphan page (has no incoming internal links)

PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Referenced in sitemaps,No. of href inlinks,No. of redirect inlinks,No. of canonical inlinks,No. of hreflang inlinks,No. of pagination inlinks,No. of CSS inlinks,No. of IMG inlinks,No. of JS inlinks
40,https://www.cabinetdigital.fr/logiciels/regate/,Regate | Découvrir la fiche de la solution,text/html; charset=utf-8,true,200,0,https://www.cabinetdigital.fr/sitemap.xml/,0,0,0,0,0,0,0,0
40,https://www.cabinetdigital.fr/logiciels/sage_x3/,,text/html; charset=utf-8,true,200,0,https://www.cabinetdigital.fr/sitemap.xml/,0,0,0,0,0,0,0,0
40,https://www.cabinetdigital.fr/logiciels/easyteo/,EasyTeo | Découvrir la fiche de la solution,text/html; charset=utf-8,true,200,1,https://www.cabinetdigital.fr/sitemap.xml/,0,0,0,0,0,0,0,0
40,https://www.cabinetdigital.fr/logiciels/cegid_quadra/,Cegid Quadra | Découvrir la fiche de la solution,text/html; charset=utf-8,true,200,1,https://www.cabinetdigital.fr/sitemap.xml/,0,0,0,0,0,0,0,0
40,https://www.cabinetdigital.fr/logiciels/conformexpert/,Conformexpert | Découvrir la fiche de la solution,text/html; charset=utf-8,true,200,6,https://www.cabinetdigital.fr/sitemap.xml/,0,0,0,0,0,0,0,0
40,https://www.cabinetdigital.fr/logiciels/jedataviz/,Jedataviz | Découvrir la fiche de la solution,text/html; charset=utf-8,true,200,0,https://www.cabinetdigital.fr/sitemap.xml/,0,0,0,0,0,0,0,0
40,https://www.cabinetdigital.fr/logiciels/ged_expert/,GED Expert | Découvrir la fiche de la solution,text/html; charset=utf-8,true,200,0,https://www.cabinetdigital.fr/sitemap.xml/,0,0,0,0,0,0,0,0
